id,desc
XAAVEZEUR,Aave
XALGOZEUR,Algorand
XANTZEUR,Aragon
XREPZEUR,Augur
XREPV2ZEUR,Augur v2
XBATZEUR,Basic Attention Token
XBALZEUR,Balancer
XXBTZEUR,Bitcoin
XBCHZEUR,Bitcoin Cash
XADAZEUR,Cardano
XLINKZEUR,Chainlink
XCOMPZEUR,Compound
XATOMZEUR,Cosmos
XCRVZEUR,Curve
XDAIZEUR,Dai
XDASHZEUR,Dash
XMANAZEUR,Decentraland
XXDGZEUR,Dogecoin
XEOSZEUR,EOS
XETHZEUR,Ethereum
XETCZEUR,Ethereum Classic
XFILZEUR,Filecoin
XGNOZEUR,Gnosis
XICXZEUR,ICON
XKAVAZEUR,Kava
XKEEPZEUR,Keep Network
XKSMZEUR,Kusama
XKNCZEUR,Kyber Network
XLSKZEUR,Lisk
XLTCZEUR,Litecoin
XMLNZEUR,Melon
XXMRZEUR,Monero
XNANOZEUR,Nano
XOMGZEUR,OmiseGO
XOXTZEUR,Orchid
XPAXGZEUR,PAX Gold
XDOTZEUR,Polkadot
XQTUMZEUR,QTUM
XXRPZEUR,Ripple
XSCZEUR,Siacoin
XXLMZEUR,Stellar Lumens
XSTORJZEUR,Storj
XSNXZEUR,Synthetix
XTBTCZEUR,tBTC
XUSDTZEUR,Tether
XXTZZEUR,Tezos
XGRTZEUR,The Graph
XTRXZEUR,Tron
XUNIZEUR,Uniswap
XUSDCZEUR,USD Coin
XWAVESZEUR,Waves
XYFIZEUR,Yearn Finance
XZECZEUR,Zcash
